gameid,time,roundNum,subA,subB,subC,subD,subE,subF,subG,subH,subI,subJ,subK,subL,trueA,trueB,trueC,trueD,trueE,trueF,trueG,trueH,trueI,trueJ,trueK,trueL,score
3334-3,1459989214825,4,8,1,2,3,12,5,4,9,10,11,7,6,8,1,2,3,12,5,4,9,10,11,7,6,12
3334-3,1459989685146,5,8,10,7,6,11,1,4,9,3,2,5,12,8,10,7,6,11,1,4,9,3,2,5,12,12
3334-3,1459990141827,6,5,4,12,9,10,2,3,6,11,1,7,8,5,4,12,9,10,2,3,6,11,1,7,8,12
6844-1,1459985496036,1,1,8,3,9,4,7,2,10,12,5,6,11,1,8,3,9,4,7,2,10,12,5,11,6,10
6844-1,1459986435497,2,10,11,4,1,2,8,7,9,3,5,6,12,10,12,4,1,2,8,7,9,3,5,11,6,9
6844-1,1459987163978,3,6,4,5,10,3,8,11,1,9,7,12,2,6,4,5,10,3,8,12,1,9,7,2,11,9
6844-1,1459987822122,4,9,10,6,11,7,1,12,8,2,4,5,3,9,10,6,11,7,1,12,8,2,4,5,3,12
6844-1,1459988242017,5,2,5,10,6,8,7,1,9,4,11,3,12,2,3,10,6,8,7,1,9,4,11,5,12,10
6844-1,1459988496375,6,6,3,11,7,5,2,1,9,10,8,4,12,6,4,11,7,5,2,1,9,10,8,3,12,10
1957-1,1459988829550,1,7,6,8,5,10,9,3,11,12,1,4,2,7,6,8,5,10,9,3,11,12,1,4,2,12
1957-1,1459989310549,2,6,2,3,1,9,5,10,4,12,11,7,8,6,2,3,1,9,5,10,4,12,11,7,8,12
1957-1,1459989569113,3,2,12,9,5,11,6,3,8,1,10,7,4,2,12,9,5,11,6,3,8,1,10,7,4,12
1957-1,1459989721580,4,7,4,10,6,11,12,2,8,9,5,1,3,7,4,10,6,11,12,2,8,9,5,1,3,12
1957-1,1459989854356,5,3,2,10,8,7,6,9,1,12,5,11,4,3,2,10,8,7,6,9,1,12,5,11,4,12
1957-1,1459989974322,6,4,8,11,1,3,9,7,6,12,5,2,10,4,8,11,1,3,9,7,6,12,5,2,10,12
4418-6,1459985223580,1,6,11,2,1,8,3,10,12,9,4,7,5,6,11,2,1,8,12,10,3,9,4,7,5,10
4418-6,1459985866631,2,3,8,10,1,9,6,2,11,5,7,12,4,3,8,10,1,9,6,2,11,5,7,12,4,12
4418-6,1459986364904,3,6,10,11,8,4,12,9,7,2,3,1,5,6,10,11,8,4,12,9,7,2,3,1,5,12
4418-6,1459986657831,4,3,10,12,11,8,9,7,6,2,5,1,4,3,10,12,11,8,9,7,6,2,5,1,4,12
4418-6,1459986875278,5,8,12,2,4,5,7,10,1,6,11,3,9,8,12,2,4,5,7,10,1,6,11,3,9,12
4418-6,1459987152376,6,2,12,8,6,1,10,3,11,9,5,7,4,2,12,8,6,1,10,3,11,9,5,7,4,12
1796-8,1459984611005,1,10,5,8,3,4,11,1,6,12,7,2,9,10,5,8,3,4,11,1,6,12,7,2,9,12
1796-8,1459984809600,2,4,12,9,6,7,8,2,3,1,5,10,11,4,12,9,5,7,8,2,3,1,6,10,11,10
1796-8,1459985036612,3,12,4,9,11,8,1,5,3,2,7,10,6,12,4,9,11,8,1,5,3,2,7,10,6,12
1796-8,1459985198328,4,2,7,9,3,4,12,11,8,10,1,6,5,2,7,9,3,4,12,11,8,10,1,6,5,12
1796-8,1459985340274,5,9,10,6,12,7,1,2,8,11,4,5,3,9,10,6,12,7,1,2,8,11,4,5,3,12
1796-8,1459985484038,6,5,4,7,6,3,2,9,12,8,11,1,10,5,4,7,6,3,2,9,12,8,11,1,10,12
2631-d,1459988969469,1,10,3,9,4,2,6,5,1,12,7,11,8,10,3,9,4,2,6,5,1,12,7,11,8,12
2631-d,1459989509702,2,9,7,11,10,4,3,2,6,12,8,1,5,9,7,11,10,4,3,2,6,12,8,1,5,12
2631-d,1459989768048,3,4,9,1,7,12,2,8,11,6,10,5,3,4,9,1,7,12,2,8,11,6,10,5,3,12
2631-d,1459989990346,4,6,4,8,1,12,11,2,10,3,5,7,9,6,4,8,1,12,11,2,10,3,5,7,9,12
2631-d,1459990186874,5,11,4,3,10,12,9,7,6,1,8,5,2,11,4,3,10,12,9,7,6,1,8,5,2,12
2631-d,1459990408313,6,6,3,9,4,5,1,2,11,12,10,8,7,6,3,9,4,5,1,2,11,12,10,8,7,12
0390-8,1459990200531,1,7,2,12,10,11,4,9,6,3,5,1,8,7,2,12,10,11,4,9,6,3,5,1,8,12
0390-8,1459990929050,2,4,9,12,10,11,1,8,5,2,6,7,3,4,9,12,10,11,1,8,5,2,6,7,3,12
0390-8,1459991148436,3,2,9,1,10,5,12,11,3,6,4,8,7,2,9,1,10,5,12,11,3,6,4,8,7,12
0390-8,1459991337092,4,11,10,7,5,2,3,8,12,4,6,1,9,11,10,7,5,2,3,8,12,4,6,1,9,12
